,actual_y,pred_y
0,3.71332933,3.4681492
1,0.531132545,0.55179065
2,0.787429393,0.17706236
3,0.151522162,0.22261864
4,2.060967253,2.0888727
5,1.777891312,1.6408712
6,4.706265808,3.3420913
7,1.787178707,1.6707957
8,2.911174675,2.7248728
9,2.777035174,4.1569967
10,0.758441009,0.60806394
11,0.366906831,0.21023726
12,2.412909019,2.0002346
13,1.504698911,1.4665353
14,-0.663099312,-0.29660475
15,1.130977843,1.873665
16,1.685806036,1.8672302
17,1.823008317,1.8572004
18,2.790901953,2.342413
19,1.569834987,1.3873984
20,-0.216526787,-0.26484036
21,0.716981763,1.061308
22,-0.421230714,-0.22922671
23,1.171790609,2.0097504
24,1.315273386,1.8047333
25,3.807534722,3.5249228
26,1.301526397,1.204207
27,0.90349998,1.4102361
28,0.740791061,0.7342582
29,0.202335887,0.3995679
30,0.723269065,1.2223828
31,0.417160384,0.3237869
32,0.655766525,1.1603682
33,0.743872362,1.1833758
34,-0.528660438,-0.51953804
35,5.981556167,3.6138244
36,0.226206478,0.12181157
37,3.610041401,2.7239184
38,2.555152156,2.1171627
39,1.030271991,1.4206219
40,0.953262267,0.9736175
41,3.296552506,2.7552488
42,1.623624001,2.6446366
43,1.565053869,1.4358871
44,0.874618323,1.5746961
45,1.637840732,1.9152806
46,3.4815058,3.8391588
47,0.482775515,0.9518648
48,1.754745309,2.8101754
49,2.175674566,1.4480786
50,3.870797015,3.9500775
51,0.557787552,0.24681097
52,3.366777889,2.5930557
53,3.277513358,2.3130865
54,1.654718641,2.348697
55,-0.604583446,-0.35469294
56,0.901118439,0.96870303
57,0.997851335,0.83292615
58,1.132186294,1.1260705
59,2.939113918,2.3262284
60,0.877673179,0.99518275
61,3.658064542,2.6983294
62,3.48656454,3.3367584
63,1.278232416,1.4714481
64,5.069125976,3.4434214
65,3.558418675,4.017166
66,0.255417992,0.61347353
67,0.809854254,0.32989648
68,-0.007066754,-0.059978843
69,0.288500575,0.30712822
70,-0.295357854,-0.190858
71,2.63889726,2.8729582
72,1.219014971,0.75642854
73,1.442928128,1.3309748
74,2.689914749,1.9026947
75,0.672584714,0.6751945
76,2.266374023,2.3139687
77,1.077801236,1.4392071
78,1.987682103,3.5258398
79,2.126584599,1.5374464
80,1.256702783,0.92870307
81,1.888219865,1.7313198
82,0.845780517,1.3652022
83,0.959826528,1.459051
84,3.360578864,4.310848
85,1.06945935,1.320096
86,0.947021225,0.7345943
87,2.101534723,2.1359692
88,2.835155422,2.5413358
89,0.99853698,1.8017001
90,2.634109011,3.3265724
91,0.33122744,0.54072005
92,0.536960986,1.1148715
93,1.049989701,1.1579473
94,2.774420805,4.2935495
95,1.086993092,2.215671
96,0.585142417,1.182452
97,0.788027845,1.5225178
98,0.744549703,0.9559643
99,1.918493046,1.3390381
100,2.062159811,3.1661282
101,5.895525581,4.605476
102,1.799575661,1.6841109
